fold,variant,equation,material,file,sigma0,weight,fraction,mlp_only,trf_cold,trf_warm,n_obs,n_train,n_test,include_sigma0,master_seed,config
LOO_00_theoph_subject_01,subject_id,one_compartment,Subj_01,theoph_subject_01,319.99199999999996,79.6,0.1,4.2982587814331055,33.23418464947331,4.113435467379251,2,11,1,True,42,subjid_sigma0
LOO_00_theoph_subject_01,subject_id,one_compartment,Subj_01,theoph_subject_01,319.99199999999996,79.6,0.2,4.2982587814331055,10102.292007791211,10102.274364240258,3,11,1,True,42,subjid_sigma0
LOO_00_theoph_subject_01,subject_id,one_compartment,Subj_01,theoph_subject_01,319.99199999999996,79.6,0.3,4.2982587814331055,11.08578090613108,11.085985842253084,4,11,1,True,42,subjid_sigma0
LOO_00_theoph_subject_01,subject_id,one_compartment,Subj_01,theoph_subject_01,319.99199999999996,79.6,0.45,4.2982587814331055,13.085468239761527,13.085444058328555,5,11,1,True,42,subjid_sigma0
LOO_00_theoph_subject_01,subject_id,one_compartment,Subj_01,theoph_subject_01,319.99199999999996,79.6,0.55,4.2982587814331055,1.455958087081873,1.4560409182988792,7,11,1,True,42,subjid_sigma0
LOO_00_theoph_subject_01,subject_id,one_compartment,Subj_01,theoph_subject_01,319.99199999999996,79.6,0.75,4.2982587814331055,0.45812044722543893,0.45811983138121987,9,11,1,True,42,subjid_sigma0
LOO_00_theoph_subject_01,subject_id,one_compartment,Subj_01,theoph_subject_01,319.99199999999996,79.6,1.0,4.2982587814331055,0.3896371840627836,0.38963718424025484,11,11,1,True,42,subjid_sigma0
LOO_00_theoph_subject_01,subject_id,two_compartment,Subj_01,theoph_subject_01,319.99199999999996,79.6,0.1,18.475318908691406,40.027555490453906,38.750050100179514,2,11,1,True,42,subjid_sigma0
LOO_00_theoph_subject_01,subject_id,two_compartment,Subj_01,theoph_subject_01,319.99199999999996,79.6,0.2,18.475318908691406,18.357105146948854,18.357105246332132,3,11,1,True,42,subjid_sigma0
LOO_00_theoph_subject_01,subject_id,two_compartment,Subj_01,theoph_subject_01,319.99199999999996,79.6,0.3,18.475318908691406,18.357105091196715,18.357105223929473,4,11,1,True,42,subjid_sigma0
LOO_00_theoph_subject_01,subject_id,two_compartment,Subj_01,theoph_subject_01,319.99199999999996,79.6,0.45,18.475318908691406,18.357105084672824,18.35710515459489,5,11,1,True,42,subjid_sigma0
LOO_00_theoph_subject_01,subject_id,two_compartment,Subj_01,theoph_subject_01,319.99199999999996,79.6,0.55,18.475318908691406,18.357105090614183,18.357105153205534,7,11,1,True,42,subjid_sigma0
LOO_00_theoph_subject_01,subject_id,two_compartment,Subj_01,theoph_subject_01,319.99199999999996,79.6,0.75,18.475318908691406,18.3571050831661,18.35710515177468,9,11,1,True,42,subjid_sigma0
LOO_00_theoph_subject_01,subject_id,two_compartment,Subj_01,theoph_subject_01,319.99199999999996,79.6,1.0,18.475318908691406,18.357105082521475,18.357105168679944,11,11,1,True,42,subjid_sigma0
LOO_01_theoph_subject_02,subject_id,one_compartment,Subj_02,theoph_subject_02,318.56000000000006,72.4,0.1,0.9635512828826904,17.96154838519071,30.725217548759478,2,11,1,True,42,subjid_sigma0
