equation,fraction,method,mean_mse,std_mse,n_obs
guiu_pratt,0.001,mlp_only,5.004063211954557,6.523222700320311,13
guiu_pratt,0.001,trf_cold,106.5302344625073,140.98441000127195,13
guiu_pratt,0.001,trf_warm,106.53033225491723,140.9844048181453,13
guiu_pratt,0.005,mlp_only,5.004063211954557,6.523222700320311,13
guiu_pratt,0.005,trf_cold,39.62896890308793,75.76149203545057,13
guiu_pratt,0.005,trf_warm,39.62898403840877,75.7614767533072,13
guiu_pratt,0.01,mlp_only,5.004063211954557,6.523222700320311,13
guiu_pratt,0.01,trf_cold,18.455936606707922,33.62304340723785,13
guiu_pratt,0.01,trf_warm,18.45593867868765,33.62301084033764,13
guiu_pratt,0.02,mlp_only,5.004063211954557,6.523222700320311,13
guiu_pratt,0.02,trf_cold,9.349657591788537,15.829478796444292,13
guiu_pratt,0.02,trf_warm,9.349642598563394,15.829411405844093,13
guiu_pratt,0.05,mlp_only,5.004063211954557,6.523222700320311,13
guiu_pratt,0.05,trf_cold,2.710140342482843,3.006484037537832,13
guiu_pratt,0.05,trf_warm,2.7101429594872517,3.0064723709605317,13
guiu_pratt,0.1,mlp_only,5.004063211954557,6.523222700320311,13
guiu_pratt,0.1,trf_cold,1.5465239082478726,1.210090787247941,13
guiu_pratt,0.1,trf_warm,1.5465268637215874,1.2100907490972372,13
guiu_pratt,0.2,mlp_only,5.004063211954557,6.523222700320311,13
guiu_pratt,0.2,trf_cold,1.1722824263151195,1.1582700132877781,13
guiu_pratt,0.2,trf_warm,1.1724424809787866,1.1581424929593167,13
guiu_pratt,0.4,mlp_only,5.004063211954557,6.523222700320311,13
guiu_pratt,0.4,trf_cold,0.7794305218647243,0.9364718116855285,13
guiu_pratt,0.4,trf_warm,0.7869094531502265,0.9346374741446108,13
thermal,0.001,mlp_only,142.20637688269983,53.98566651804408,13
thermal,0.001,trf_cold,106.53021364777815,140.98440018702928,13
thermal,0.001,trf_warm,106.53016392066789,140.98414471863424,13
thermal,0.005,mlp_only,142.20637688269983,53.98566651804408,13
thermal,0.005,trf_cold,39.62898973473045,75.76157049878378,13
thermal,0.005,trf_warm,39.628957075018654,75.76148900070405,13
thermal,0.01,mlp_only,142.20637688269983,53.98566651804408,13
thermal,0.01,trf_cold,18.455967798363623,33.62313137172409,13
thermal,0.01,trf_warm,18.455933124520946,33.623043483425,13
thermal,0.02,mlp_only,142.20637688269983,53.98566651804408,13
thermal,0.02,trf_cold,9.349676427141123,15.829525874959518,13
thermal,0.02,trf_warm,9.349622586226133,15.829425324258622,13
thermal,0.05,mlp_only,142.20637688269983,53.98566651804408,13
thermal,0.05,trf_cold,2.7101455415473246,3.006495017783471,13
thermal,0.05,trf_warm,2.710135584612146,3.0064655558148825,13
thermal,0.1,mlp_only,142.20637688269983,53.98566651804408,13
thermal,0.1,trf_cold,1.546524905842748,1.2100931716504464,13
thermal,0.1,trf_warm,1.5465272762596298,1.2100942617143504,13
thermal,0.2,mlp_only,142.20637688269983,53.98566651804408,13
thermal,0.2,trf_cold,1.1731366062647017,1.1579808367633566,13
thermal,0.2,trf_warm,1.1732494394218542,1.1579993866910203,13
thermal,0.4,mlp_only,142.20637688269983,53.98566651804408,13
thermal,0.4,trf_cold,0.7991525404959974,0.9328052713577207,13
thermal,0.4,trf_warm,0.7991525536613905,0.9328052849089277,13
