fold,equation,material,file,sigma0,fraction,mlp_only,trf_cold,trf_warm,n_obs,n_train,n_test
LOO_000_KupferDigital_BAM_StressRelaxation_A_04,guiu_pratt,CuZn38As,KupferDigital_BAM_StressRelaxation_A_04,250.383187620988,0.001,114.09637451171875,328.3303490235965,328.3303686431209,9,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_A_04,guiu_pratt,CuZn38As,KupferDigital_BAM_StressRelaxation_A_04,250.383187620988,0.005,114.09637451171875,238.4512725924302,238.45114350479474,44,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_A_04,guiu_pratt,CuZn38As,KupferDigital_BAM_StressRelaxation_A_04,250.383187620988,0.01,114.09637451171875,146.725501867933,146.7255035675871,87,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_A_04,guiu_pratt,CuZn38As,KupferDigital_BAM_StressRelaxation_A_04,250.383187620988,0.02,114.09637451171875,151.92554439953426,151.92539174587748,174,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_A_04,guiu_pratt,CuZn38As,KupferDigital_BAM_StressRelaxation_A_04,250.383187620988,0.05,114.09637451171875,78.527049596454,78.52714247171224,433,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_A_04,guiu_pratt,CuZn38As,KupferDigital_BAM_StressRelaxation_A_04,250.383187620988,0.1,114.09637451171875,41.206394317362935,41.20628236782998,866,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_A_04,guiu_pratt,CuZn38As,KupferDigital_BAM_StressRelaxation_A_04,250.383187620988,0.2,114.09637451171875,22.01570211369498,22.015621224848218,1731,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_A_04,guiu_pratt,CuZn38As,KupferDigital_BAM_StressRelaxation_A_04,250.383187620988,0.4,114.09637451171875,7.010426242559911,7.010413100482836,3462,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_A_04,thermal,CuZn38As,KupferDigital_BAM_StressRelaxation_A_04,250.383187620988,0.001,627.6190185546875,328.33034541511705,328.33028885828776,9,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_A_04,thermal,CuZn38As,KupferDigital_BAM_StressRelaxation_A_04,250.383187620988,0.005,627.6190185546875,238.4513638457979,238.45150417387768,44,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_A_04,thermal,CuZn38As,KupferDigital_BAM_StressRelaxation_A_04,250.383187620988,0.01,627.6190185546875,146.72576887264862,146.72457288838964,87,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_A_04,thermal,CuZn38As,KupferDigital_BAM_StressRelaxation_A_04,250.383187620988,0.02,627.6190185546875,151.9255902391103,151.92540822919275,174,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_A_04,thermal,CuZn38As,KupferDigital_BAM_StressRelaxation_A_04,250.383187620988,0.05,627.6190185546875,78.52731174752516,78.52698839428373,433,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_A_04,thermal,CuZn38As,KupferDigital_BAM_StressRelaxation_A_04,250.383187620988,0.1,627.6190185546875,41.2064512979861,41.206676011903156,866,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_A_04,thermal,CuZn38As,KupferDigital_BAM_StressRelaxation_A_04,250.383187620988,0.2,627.6190185546875,22.015749724525353,22.01575784234661,1731,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_A_04,thermal,CuZn38As,KupferDigital_BAM_StressRelaxation_A_04,250.383187620988,0.4,627.6190185546875,7.010439888393509,7.010490880599031,3462,16,1
