fold,equation,material,file,sigma0,fraction,mlp_only,trf_cold,trf_warm,n_obs,n_train,n_test
LOO_001_KupferDigital_BAM_StressRelaxation_B_04_,guiu_pratt,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_04 ,475.436304111399,0.001,4.439743518829346,337.29753712038894,337.2971467722273,9,16,1
LOO_001_KupferDigital_BAM_StressRelaxation_B_04_,guiu_pratt,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_04 ,475.436304111399,0.005,4.439743518829346,155.89414124971043,155.89406357384598,44,16,1
LOO_001_KupferDigital_BAM_StressRelaxation_B_04_,guiu_pratt,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_04 ,475.436304111399,0.01,4.439743518829346,79.57653280243807,79.57643916724423,87,16,1
LOO_001_KupferDigital_BAM_StressRelaxation_B_04_,guiu_pratt,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_04 ,475.436304111399,0.02,4.439743518829346,52.4892361085014,52.48909315897329,174,16,1
LOO_001_KupferDigital_BAM_StressRelaxation_B_04_,guiu_pratt,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_04 ,475.436304111399,0.05,4.439743518829346,5.778998593720545,5.778917240386078,434,16,1
LOO_001_KupferDigital_BAM_StressRelaxation_B_04_,guiu_pratt,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_04 ,475.436304111399,0.1,4.439743518829346,0.5880169361003689,0.5880193164297218,867,16,1
LOO_001_KupferDigital_BAM_StressRelaxation_B_04_,guiu_pratt,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_04 ,475.436304111399,0.2,4.439743518829346,1.977391147494288,1.977396998257952,1733,16,1
LOO_001_KupferDigital_BAM_StressRelaxation_B_04_,guiu_pratt,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_04 ,475.436304111399,0.4,4.439743518829346,1.295269954708372,1.2952759704951904,3466,16,1
LOO_001_KupferDigital_BAM_StressRelaxation_B_04_,thermal,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_04 ,475.436304111399,0.001,56.70738983154297,337.2975492661614,337.29756692753085,9,16,1
LOO_001_KupferDigital_BAM_StressRelaxation_B_04_,thermal,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_04 ,475.436304111399,0.005,56.70738983154297,155.89429779469262,155.89364079088227,44,16,1
LOO_001_KupferDigital_BAM_StressRelaxation_B_04_,thermal,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_04 ,475.436304111399,0.01,56.70738983154297,79.57668006663239,79.5765556276917,87,16,1
LOO_001_KupferDigital_BAM_StressRelaxation_B_04_,thermal,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_04 ,475.436304111399,0.02,56.70738983154297,52.48935540511271,52.48912604101591,174,16,1
LOO_001_KupferDigital_BAM_StressRelaxation_B_04_,thermal,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_04 ,475.436304111399,0.05,56.70738983154297,5.779033965103173,5.779031164629791,434,16,1
LOO_001_KupferDigital_BAM_StressRelaxation_B_04_,thermal,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_04 ,475.436304111399,0.1,56.70738983154297,0.5880163082601918,0.5880171293502626,867,16,1
LOO_001_KupferDigital_BAM_StressRelaxation_B_04_,thermal,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_04 ,475.436304111399,0.2,56.70738983154297,1.9773763910797477,1.9773769110131547,1733,16,1
LOO_001_KupferDigital_BAM_StressRelaxation_B_04_,thermal,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_04 ,475.436304111399,0.4,56.70738983154297,1.2952620336574958,1.2952607503601603,3466,16,1
