fold,equation,material,file,sigma0,fraction,mlp_only,trf_cold,trf_warm,n_obs,n_train,n_test
LOO_005_KupferDigital_BAM_StressRelaxation_D_03_,guiu_pratt,CuSn6,KupferDigital_BAM_StressRelaxation_D_03 ,112.753396810078,0.001,6.384517192840576,31.811719549671803,31.81183503308315,9,16,1
LOO_005_KupferDigital_BAM_StressRelaxation_D_03_,guiu_pratt,CuSn6,KupferDigital_BAM_StressRelaxation_D_03 ,112.753396810078,0.005,6.384517192840576,21.371809633745826,21.37186168888031,44,16,1
LOO_005_KupferDigital_BAM_StressRelaxation_D_03_,guiu_pratt,CuSn6,KupferDigital_BAM_StressRelaxation_D_03 ,112.753396810078,0.01,6.384517192840576,14.923702252607258,14.92371835411281,87,16,1
LOO_005_KupferDigital_BAM_StressRelaxation_D_03_,guiu_pratt,CuSn6,KupferDigital_BAM_StressRelaxation_D_03 ,112.753396810078,0.02,6.384517192840576,4.3024979304024,4.302509718633725,174,16,1
LOO_005_KupferDigital_BAM_StressRelaxation_D_03_,guiu_pratt,CuSn6,KupferDigital_BAM_StressRelaxation_D_03 ,112.753396810078,0.05,6.384517192840576,12.754172046764824,12.754215610627528,433,16,1
LOO_005_KupferDigital_BAM_StressRelaxation_D_03_,guiu_pratt,CuSn6,KupferDigital_BAM_StressRelaxation_D_03 ,112.753396810078,0.1,6.384517192840576,15.576313307234352,15.576517528311866,866,16,1
LOO_005_KupferDigital_BAM_StressRelaxation_D_03_,guiu_pratt,CuSn6,KupferDigital_BAM_StressRelaxation_D_03 ,112.753396810078,0.2,6.384517192840576,2.948699369191602,2.9486839110984784,1731,16,1
LOO_005_KupferDigital_BAM_StressRelaxation_D_03_,guiu_pratt,CuSn6,KupferDigital_BAM_StressRelaxation_D_03 ,112.753396810078,0.4,6.384517192840576,1.201601880020971,1.223155770570522,3462,16,1
LOO_005_KupferDigital_BAM_StressRelaxation_D_03_,thermal,CuSn6,KupferDigital_BAM_StressRelaxation_D_03 ,112.753396810078,0.001,1644.0411376953125,31.81171019172642,31.811604645940527,9,16,1
LOO_005_KupferDigital_BAM_StressRelaxation_D_03_,thermal,CuSn6,KupferDigital_BAM_StressRelaxation_D_03 ,112.753396810078,0.005,1644.0411376953125,21.371780542252548,21.371772169914067,44,16,1
LOO_005_KupferDigital_BAM_StressRelaxation_D_03_,thermal,CuSn6,KupferDigital_BAM_StressRelaxation_D_03 ,112.753396810078,0.01,1644.0411376953125,14.92368612200978,14.923712650284045,87,16,1
LOO_005_KupferDigital_BAM_StressRelaxation_D_03_,thermal,CuSn6,KupferDigital_BAM_StressRelaxation_D_03 ,112.753396810078,0.02,1644.0411376953125,4.302497828949495,4.30249833595048,174,16,1
LOO_005_KupferDigital_BAM_StressRelaxation_D_03_,thermal,CuSn6,KupferDigital_BAM_StressRelaxation_D_03 ,112.753396810078,0.05,1644.0411376953125,12.754171230666508,12.754169970240827,433,16,1
LOO_005_KupferDigital_BAM_StressRelaxation_D_03_,thermal,CuSn6,KupferDigital_BAM_StressRelaxation_D_03 ,112.753396810078,0.1,1644.0411376953125,15.576313254990225,15.576313108102662,866,16,1
LOO_005_KupferDigital_BAM_StressRelaxation_D_03_,thermal,CuSn6,KupferDigital_BAM_StressRelaxation_D_03 ,112.753396810078,0.2,1644.0411376953125,2.957924158534325,2.9705693102592035,1731,16,1
LOO_005_KupferDigital_BAM_StressRelaxation_D_03_,thermal,CuSn6,KupferDigital_BAM_StressRelaxation_D_03 ,112.753396810078,0.4,1644.0411376953125,1.304910352414629,1.3049103562465425,3462,16,1
