fold,equation,material,file,sigma0,fraction,mlp_only,trf_cold,trf_warm,n_obs,n_train,n_test
LOO_007_KupferDigital_BAM_StressRelaxation_F_03_,guiu_pratt,CuNi12Al3,KupferDigital_BAM_StressRelaxation_F_03 ,439.762546176156,0.001,714.0931396484375,32.302117117997966,32.30235192856333,9,16,1
LOO_007_KupferDigital_BAM_StressRelaxation_F_03_,guiu_pratt,CuNi12Al3,KupferDigital_BAM_StressRelaxation_F_03 ,439.762546176156,0.005,714.0931396484375,4.816821179352248,4.927772046565089,44,16,1
LOO_007_KupferDigital_BAM_StressRelaxation_F_03_,guiu_pratt,CuNi12Al3,KupferDigital_BAM_StressRelaxation_F_03 ,439.762546176156,0.01,714.0931396484375,1.7567757296095374,1.7681508457598711,87,16,1
LOO_007_KupferDigital_BAM_StressRelaxation_F_03_,guiu_pratt,CuNi12Al3,KupferDigital_BAM_StressRelaxation_F_03 ,439.762546176156,0.02,714.0931396484375,2.103112933621422,2.125822072894767,174,16,1
LOO_007_KupferDigital_BAM_StressRelaxation_F_03_,guiu_pratt,CuNi12Al3,KupferDigital_BAM_StressRelaxation_F_03 ,439.762546176156,0.05,714.0931396484375,1.3436642744509415,1.3432282242797005,434,16,1
LOO_007_KupferDigital_BAM_StressRelaxation_F_03_,guiu_pratt,CuNi12Al3,KupferDigital_BAM_StressRelaxation_F_03 ,439.762546176156,0.1,714.0931396484375,1.255989550037742,1.25572978020925,867,16,1
LOO_007_KupferDigital_BAM_StressRelaxation_F_03_,guiu_pratt,CuNi12Al3,KupferDigital_BAM_StressRelaxation_F_03 ,439.762546176156,0.2,714.0931396484375,1.5200750580645765,1.520020026466831,1733,16,1
LOO_007_KupferDigital_BAM_StressRelaxation_F_03_,guiu_pratt,CuNi12Al3,KupferDigital_BAM_StressRelaxation_F_03 ,439.762546176156,0.4,714.0931396484375,1.1927826057849358,1.1927831308342822,3466,16,1
LOO_007_KupferDigital_BAM_StressRelaxation_F_03_,thermal,CuNi12Al3,KupferDigital_BAM_StressRelaxation_F_03 ,439.762546176156,0.001,2417.5087890625,32.30212501754583,32.301885000816206,9,16,1
LOO_007_KupferDigital_BAM_StressRelaxation_F_03_,thermal,CuNi12Al3,KupferDigital_BAM_StressRelaxation_F_03 ,439.762546176156,0.005,2417.5087890625,5.5795355892719485,5.579536646147206,44,16,1
LOO_007_KupferDigital_BAM_StressRelaxation_F_03_,thermal,CuNi12Al3,KupferDigital_BAM_StressRelaxation_F_03 ,439.762546176156,0.01,2417.5087890625,1.970954144264112,1.9709541947014941,87,16,1
LOO_007_KupferDigital_BAM_StressRelaxation_F_03_,thermal,CuNi12Al3,KupferDigital_BAM_StressRelaxation_F_03 ,439.762546176156,0.02,2417.5087890625,2.3143990486061514,2.314399109275272,174,16,1
LOO_007_KupferDigital_BAM_StressRelaxation_F_03_,thermal,CuNi12Al3,KupferDigital_BAM_StressRelaxation_F_03 ,439.762546176156,0.05,2417.5087890625,1.3837520121696651,1.383752094146132,434,16,1
LOO_007_KupferDigital_BAM_StressRelaxation_F_03_,thermal,CuNi12Al3,KupferDigital_BAM_StressRelaxation_F_03 ,439.762546176156,0.1,2417.5087890625,1.240331684467065,1.2403317025966807,867,16,1
LOO_007_KupferDigital_BAM_StressRelaxation_F_03_,thermal,CuNi12Al3,KupferDigital_BAM_StressRelaxation_F_03 ,439.762546176156,0.2,2417.5087890625,1.5078579014097433,1.50785790899655,1733,16,1
LOO_007_KupferDigital_BAM_StressRelaxation_F_03_,thermal,CuNi12Al3,KupferDigital_BAM_StressRelaxation_F_03 ,439.762546176156,0.4,2417.5087890625,1.1927826008880276,1.1927825976967101,3466,16,1
