fold,equation,material,file,sigma0,fraction,mlp_only,trf_cold,trf_warm,n_obs,n_train,n_test
LOO_008_KupferDigital_BAM_StressRelaxation_H_09_,guiu_pratt,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.001,2.5134079456329346,100.83904960898559,100.83964359329629,9,16,1
LOO_008_KupferDigital_BAM_StressRelaxation_H_09_,guiu_pratt,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.005,2.5134079456329346,22.43516904955723,22.435250157652284,44,16,1
LOO_008_KupferDigital_BAM_StressRelaxation_H_09_,guiu_pratt,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.01,2.5134079456329346,12.877052402039062,12.877166056948488,87,16,1
LOO_008_KupferDigital_BAM_StressRelaxation_H_09_,guiu_pratt,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.02,2.5134079456329346,6.727914479200863,6.727959141181895,173,16,1
LOO_008_KupferDigital_BAM_StressRelaxation_H_09_,guiu_pratt,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.05,2.5134079456329346,2.8312361554941097,2.831248720915148,433,16,1
LOO_008_KupferDigital_BAM_StressRelaxation_H_09_,guiu_pratt,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.1,2.5134079456329346,2.8619298521107233,2.8619416724116964,865,16,1
LOO_008_KupferDigital_BAM_StressRelaxation_H_09_,guiu_pratt,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.2,2.5134079456329346,1.8131987504827525,1.8131994493062324,1730,16,1
LOO_008_KupferDigital_BAM_StressRelaxation_H_09_,guiu_pratt,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.4,2.5134079456329346,0.6923884270752069,0.7437842111221888,3460,16,1
LOO_008_KupferDigital_BAM_StressRelaxation_H_09_,thermal,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.001,110.45558166503906,100.83904659876757,100.83914361946914,9,16,1
LOO_008_KupferDigital_BAM_StressRelaxation_H_09_,thermal,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.005,110.45558166503906,22.43514706705564,22.435154245829885,44,16,1
LOO_008_KupferDigital_BAM_StressRelaxation_H_09_,thermal,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.01,110.45558166503906,12.877052594665088,12.877047227445345,87,16,1
LOO_008_KupferDigital_BAM_StressRelaxation_H_09_,thermal,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.02,110.45558166503906,6.727914582779682,6.727914170868979,173,16,1
LOO_008_KupferDigital_BAM_StressRelaxation_H_09_,thermal,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.05,110.45558166503906,2.831236170661911,2.83123594219783,433,16,1
LOO_008_KupferDigital_BAM_StressRelaxation_H_09_,thermal,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.1,110.45558166503906,2.8619297918343145,2.861930107297475,865,16,1
LOO_008_KupferDigital_BAM_StressRelaxation_H_09_,thermal,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.2,110.45558166503906,1.817225060072987,1.8181691467791758,1730,16,1
LOO_008_KupferDigital_BAM_StressRelaxation_H_09_,thermal,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.4,110.45558166503906,0.8389808835583152,0.8389808825846011,3460,16,1
