fold,equation,material,file,sigma0,fraction,mlp_only,trf_cold,trf_warm,n_obs,n_train,n_test
LOO_009_KupferDigital_BAM_StressRelaxation_G_09_,guiu_pratt,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_09 ,308.4665394,0.001,0.6781225800514221,6.460738529080711,6.460743060811878,9,16,1
LOO_009_KupferDigital_BAM_StressRelaxation_G_09_,guiu_pratt,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_09 ,308.4665394,0.005,0.6781225800514221,0.6040776928950167,0.6040807409946779,44,16,1
LOO_009_KupferDigital_BAM_StressRelaxation_G_09_,guiu_pratt,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_09 ,308.4665394,0.01,0.6781225800514221,0.5678863124220247,0.5678839803896946,87,16,1
LOO_009_KupferDigital_BAM_StressRelaxation_G_09_,guiu_pratt,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_09 ,308.4665394,0.02,0.6781225800514221,0.4973165927145431,0.49731618412947265,174,16,1
LOO_009_KupferDigital_BAM_StressRelaxation_G_09_,guiu_pratt,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_09 ,308.4665394,0.05,0.6781225800514221,0.6628831211143851,0.6628755889719679,433,16,1
LOO_009_KupferDigital_BAM_StressRelaxation_G_09_,guiu_pratt,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_09 ,308.4665394,0.1,0.6781225800514221,0.9590119133058541,0.9589954392826089,866,16,1
LOO_009_KupferDigital_BAM_StressRelaxation_G_09_,guiu_pratt,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_09 ,308.4665394,0.2,0.6781225800514221,0.8160748584318734,0.8160670537489122,1732,16,1
LOO_009_KupferDigital_BAM_StressRelaxation_G_09_,guiu_pratt,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_09 ,308.4665394,0.4,0.6781225800514221,0.5863038202747572,0.5863001697292911,3464,16,1
LOO_009_KupferDigital_BAM_StressRelaxation_G_09_,thermal,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_09 ,308.4665394,0.001,958.6878051757812,6.46073828565608,6.460737746042462,9,16,1
LOO_009_KupferDigital_BAM_StressRelaxation_G_09_,thermal,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_09 ,308.4665394,0.005,958.6878051757812,0.6040775579107158,0.6040775627267451,44,16,1
LOO_009_KupferDigital_BAM_StressRelaxation_G_09_,thermal,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_09 ,308.4665394,0.01,958.6878051757812,0.5678862817398235,0.5678862501679638,87,16,1
LOO_009_KupferDigital_BAM_StressRelaxation_G_09_,thermal,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_09 ,308.4665394,0.02,958.6878051757812,0.49731712945498063,0.4973171567982944,174,16,1
LOO_009_KupferDigital_BAM_StressRelaxation_G_09_,thermal,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_09 ,308.4665394,0.05,958.6878051757812,0.6628830787361617,0.6628830111986113,433,16,1
LOO_009_KupferDigital_BAM_StressRelaxation_G_09_,thermal,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_09 ,308.4665394,0.1,958.6878051757812,0.9590119347071638,0.9590118650018803,866,16,1
LOO_009_KupferDigital_BAM_StressRelaxation_G_09_,thermal,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_09 ,308.4665394,0.2,958.6878051757812,0.8160748439748231,0.8160748641923745,1732,16,1
LOO_009_KupferDigital_BAM_StressRelaxation_G_09_,thermal,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_09 ,308.4665394,0.4,958.6878051757812,0.5863038034819973,0.5863038253192793,3464,16,1
