fold,equation,material,file,sigma0,fraction,mlp_only,trf_cold,trf_warm,n_obs,n_train,n_test
LOO_010_KupferDigital_BAM_StressRelaxation_G_15,guiu_pratt,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_15,249.4188226,0.001,3.0625929832458496,57.37346870379473,57.37377578444046,9,16,1
LOO_010_KupferDigital_BAM_StressRelaxation_G_15,guiu_pratt,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_15,249.4188226,0.005,3.0625929832458496,5.804027801421767,5.804123260430725,44,16,1
LOO_010_KupferDigital_BAM_StressRelaxation_G_15,guiu_pratt,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_15,249.4188226,0.01,3.0625929832458496,1.7502347430405207,1.750241205546433,87,16,1
LOO_010_KupferDigital_BAM_StressRelaxation_G_15,guiu_pratt,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_15,249.4188226,0.02,3.0625929832458496,0.8381955897029969,0.8382074319080527,173,16,1
LOO_010_KupferDigital_BAM_StressRelaxation_G_15,guiu_pratt,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_15,249.4188226,0.05,3.0625929832458496,0.4137377211356076,0.41373200878180943,433,16,1
LOO_010_KupferDigital_BAM_StressRelaxation_G_15,guiu_pratt,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_15,249.4188226,0.1,3.0625929832458496,0.5673778603709754,0.5673871997455924,865,16,1
LOO_010_KupferDigital_BAM_StressRelaxation_G_15,guiu_pratt,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_15,249.4188226,0.2,3.0625929832458496,0.18196416033406027,0.18196512967864276,1730,16,1
LOO_010_KupferDigital_BAM_StressRelaxation_G_15,guiu_pratt,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_15,249.4188226,0.4,3.0625929832458496,0.15928921859977013,0.15928751247251596,3459,16,1
LOO_010_KupferDigital_BAM_StressRelaxation_G_15,thermal,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_15,249.4188226,0.001,912.1491088867188,57.37375831910588,57.37514950097491,9,16,1
LOO_010_KupferDigital_BAM_StressRelaxation_G_15,thermal,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_15,249.4188226,0.005,912.1491088867188,5.804025832300211,5.804121517176434,44,16,1
LOO_010_KupferDigital_BAM_StressRelaxation_G_15,thermal,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_15,249.4188226,0.01,912.1491088867188,1.750228182181687,1.7502335176710688,87,16,1
LOO_010_KupferDigital_BAM_StressRelaxation_G_15,thermal,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_15,249.4188226,0.02,912.1491088867188,0.8381958484130796,0.8381965440542606,173,16,1
LOO_010_KupferDigital_BAM_StressRelaxation_G_15,thermal,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_15,249.4188226,0.05,912.1491088867188,0.413737731341727,0.413737683462765,433,16,1
LOO_010_KupferDigital_BAM_StressRelaxation_G_15,thermal,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_15,249.4188226,0.1,912.1491088867188,0.5673778422866544,0.5673775431978745,865,16,1
LOO_010_KupferDigital_BAM_StressRelaxation_G_15,thermal,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_15,249.4188226,0.2,912.1491088867188,0.18196402855195074,0.18196403055623184,1730,16,1
LOO_010_KupferDigital_BAM_StressRelaxation_G_15,thermal,CuNi6Sn4,KupferDigital_BAM_StressRelaxation_G_15,249.4188226,0.4,912.1491088867188,0.1592892194092355,0.15928921755460848,3459,16,1
