fold,equation,material,file,sigma0,fraction,mlp_only,trf_cold,trf_warm,n_obs,n_train,n_test
LOO_011_KupferDigital_BAM_StressRelaxation_I_14_,guiu_pratt,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.001,2.764223575592041,1.3576770449656166,1.3576759604173874,9,16,1
LOO_011_KupferDigital_BAM_StressRelaxation_I_14_,guiu_pratt,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.005,2.764223575592041,2.320956990831679,2.320949268708298,44,16,1
LOO_011_KupferDigital_BAM_StressRelaxation_I_14_,guiu_pratt,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.01,2.764223575592041,1.798615669480162,1.7986063149872924,87,16,1
LOO_011_KupferDigital_BAM_StressRelaxation_I_14_,guiu_pratt,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.02,2.764223575592041,1.406107861773659,1.4061072464217885,173,16,1
LOO_011_KupferDigital_BAM_StressRelaxation_I_14_,guiu_pratt,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.05,2.764223575592041,1.5516714284337016,1.5516796074019839,433,16,1
LOO_011_KupferDigital_BAM_StressRelaxation_I_14_,guiu_pratt,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.1,2.764223575592041,2.881024856852486,2.8810454559292906,865,16,1
LOO_011_KupferDigital_BAM_StressRelaxation_I_14_,guiu_pratt,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.2,2.764223575592041,4.566076517902179,4.566115776954753,1730,16,1
LOO_011_KupferDigital_BAM_StressRelaxation_I_14_,guiu_pratt,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.4,2.764223575592041,3.732622272593031,3.7326442590501707,3460,16,1
LOO_011_KupferDigital_BAM_StressRelaxation_I_14_,thermal,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.001,181.32713317871094,1.3576770293385718,1.3576772289279413,9,16,1
LOO_011_KupferDigital_BAM_StressRelaxation_I_14_,thermal,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.005,181.32713317871094,2.32095687143697,2.3209520471302847,44,16,1
LOO_011_KupferDigital_BAM_StressRelaxation_I_14_,thermal,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.01,181.32713317871094,1.7986157399615226,1.7986159925182066,87,16,1
LOO_011_KupferDigital_BAM_StressRelaxation_I_14_,thermal,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.02,181.32713317871094,1.40610787227674,1.406107941714513,173,16,1
LOO_011_KupferDigital_BAM_StressRelaxation_I_14_,thermal,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.05,181.32713317871094,1.5516716252301148,1.5516716021916652,433,16,1
LOO_011_KupferDigital_BAM_StressRelaxation_I_14_,thermal,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.1,181.32713317871094,2.8810069468136534,2.881054689975229,865,16,1
LOO_011_KupferDigital_BAM_StressRelaxation_I_14_,thermal,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.2,181.32713317871094,4.566071394191027,4.566074614954025,1730,16,1
LOO_011_KupferDigital_BAM_StressRelaxation_I_14_,thermal,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.4,181.32713317871094,3.7326198735540466,3.732620246424758,3460,16,1
