fold,equation,material,file,sigma0,fraction,mlp_only,trf_cold,trf_warm,n_obs,n_train,n_test
LOO_014_KupferDigital_BAM_StressRelaxation_I_07,guiu_pratt,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_07,167.9576696,0.001,5.327155590057373,3.906595720605826,3.9065612608524223,9,16,1
LOO_014_KupferDigital_BAM_StressRelaxation_I_07,guiu_pratt,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_07,167.9576696,0.005,5.327155590057373,5.0165230336632805,5.016491837999356,44,16,1
LOO_014_KupferDigital_BAM_StressRelaxation_I_07,guiu_pratt,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_07,167.9576696,0.01,5.327155590057373,3.726035703082275,3.7260276290681777,87,16,1
LOO_014_KupferDigital_BAM_StressRelaxation_I_07,guiu_pratt,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_07,167.9576696,0.02,5.327155590057373,1.5945755226863327,1.594554709983316,173,16,1
LOO_014_KupferDigital_BAM_StressRelaxation_I_07,guiu_pratt,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_07,167.9576696,0.05,5.327155590057373,0.22960544365213204,0.22960454074677777,433,16,1
LOO_014_KupferDigital_BAM_StressRelaxation_I_07,guiu_pratt,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_07,167.9576696,0.1,5.327155590057373,0.23399233219304671,0.23398996317920195,865,16,1
LOO_014_KupferDigital_BAM_StressRelaxation_I_07,guiu_pratt,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_07,167.9576696,0.2,5.327155590057373,0.4734293802727382,0.47341450381807637,1729,16,1
LOO_014_KupferDigital_BAM_StressRelaxation_I_07,guiu_pratt,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_07,167.9576696,0.4,5.327155590057373,0.2415085730774345,0.24151245656098938,3458,16,1
LOO_014_KupferDigital_BAM_StressRelaxation_I_07,thermal,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_07,167.9576696,0.001,1279.510009765625,3.9066007881557527,3.906662377340778,9,16,1
LOO_014_KupferDigital_BAM_StressRelaxation_I_07,thermal,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_07,167.9576696,0.005,1279.510009765625,5.01652211205349,5.016520074172388,44,16,1
LOO_014_KupferDigital_BAM_StressRelaxation_I_07,thermal,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_07,167.9576696,0.01,1279.510009765625,3.7260363329878876,3.726033598236512,87,16,1
LOO_014_KupferDigital_BAM_StressRelaxation_I_07,thermal,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_07,167.9576696,0.02,1279.510009765625,1.5945804902395888,1.5945765159099856,173,16,1
LOO_014_KupferDigital_BAM_StressRelaxation_I_07,thermal,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_07,167.9576696,0.05,1279.510009765625,0.22960581858981927,0.2296014526607068,433,16,1
LOO_014_KupferDigital_BAM_StressRelaxation_I_07,thermal,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_07,167.9576696,0.1,1279.510009765625,0.23399297695449914,0.2339925831302142,865,16,1
LOO_014_KupferDigital_BAM_StressRelaxation_I_07,thermal,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_07,167.9576696,0.2,1279.510009765625,0.47343081738946957,0.4734316682499358,1729,16,1
LOO_014_KupferDigital_BAM_StressRelaxation_I_07,thermal,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_07,167.9576696,0.4,1279.510009765625,0.24150808443591731,0.24150841934876016,3458,16,1
